pdf,quantidade,descricao,valor_unitario,valor_total
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C65 256 GB /8GB IMEI,555.35,555.35
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C65 256 GB /8GB IMEI,555.35,555.35
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR IPRO K1 IMEI,103.56,103.56
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR IPRO K1 IMEI,103.56,103.56
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR IPRO K1 IMEI,103.56,103.56
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR IPRO K1 IMEI,103.56,103.56
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR IPRO K1 IMEI,103.56,103.56
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,"TELEFONE CELULAR BLU Z5 IMEI R$ 63,06",63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 IMEI,63.06,63.06
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR ITEL A50 64 GB IMEI,323.99,323.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 128 GB / 8GB IMEI,459.96,459.96
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI POCO C75 128 GB / 6GB IMEI,462.85,462.85
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,"TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI R$ 566,99",566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB / 8GB IMEI,566.99,566.99
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 13 128 GB / 6GB IMEI,593.02,593.02
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IME,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IME,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI - 358981774642481/,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR BLU Z5 Z215 IMEI,63.14,63.14
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR REALME C 61 256 GB IMEI,666.16,666.16
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI A3 128 GB IMEI,411.28,411.28
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI A3 128 GB IMEI,411.28,411.28
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 12 128 GB IMEI,637.2,637.2
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 12 128 GB IMEI,637.2,637.2
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 12 128 GB IMEI,637.2,637.2
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 12 128 GB IMEI,637.2,637.2
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB IMEI,550.31,550.31
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI 14C 256 GB IMEI,550.31,550.31
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 14 256 GB IMEI,883.39,883.39
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,TELEFONE CELULAR XIAOMI REDMI NOTE 14 256 GB IMEI,883.39,883.39
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C61 8GB RAM 256GB ROM,628.4,628.4
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A5 4GB RAM 128GB ROM,391.37,391.37
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A5 4GB RAM 128GB ROM,391.37,391.37
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A5 4GB RAM 128GB ROM,391.37,391.37
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A5 4GB RAM 128GB ROM,391.37,391.37
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR X5B 4GB RAM 128GB ROM,700.0,700.0
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR X5B 4GB RAM 128GB ROM,700.0,700.0
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR X5B 4GB RAM 128GB ROM,700.0,700.0
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR X5B 4GB RAM 128GB ROM,700.0,700.0
ADM 0800100_0737_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR MAGIC 7 LITE 12GB RAM 512GB ROM,512.0,512.0
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB 8GB RAM,790.0,790.0
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 12 - BLOQUEADO C/ SENHA SEM SN/,952.21,952.21
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,"SMARTPHONE APPLE IPHONE 13 128GB CHINA-SH23GVX2R7G/// R$ 2.658,41",2658.41,2658.41
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,"SMARTPHONE APPLE IPHONE 12 64GB CHINA-SFFMJD3GF0DXQ/// R$ 904,99",904.99,904.99
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,"SMARTPHONE APPLE IPHONE 12 128GB HGYM30UE0F0X/CHINA/// R$ 1.159,68",1159.68,1159.68
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A06 128GB 4GB RAM,585.88,585.88
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A25 5G 128GB 6GB RAM,972.44,972.44
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA G 04S 128GB 4GB RAM,682.0,682.0
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA G 04S 128GB 4GB RAM,682.0,682.0
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE REAL ME NOTE 50 128GB 4GB RAM,488.64,488.64
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE REAL ME NOTE 50 128GB 4GB RAM,488.64,488.64
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G 256GB 8GB RAM,1195.92,1195.92
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,839.56,839.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,839.56,839.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,839.56,839.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12 128GB 4GB RAM,549.64,549.64
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12 128GB 8GB RAM,632.69,632.69
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 64GB 3GB RAM,386.56,386.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 64GB 3GB RAM,386.56,386.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 64GB 3GB RAM,386.56,386.56
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 128GB 6GB RAM,634.2,634.2
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 128GB 6GB RAM,634.2,634.2
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 128GB 6GB RAM,634.2,634.2
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 128GB 6GB RAM,634.2,634.2
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12C 6GB RAM 128GB ROM SN:,611.83,611.83
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12C 6GB RAM 128GB ROM SN:,611.83,611.83
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12C 6GB RAM 128GB ROM SN:,611.83,611.83
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY TAB 3GB RAM 32GB ROM SN:,576.73,576.73
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
ADM 0800100_0738_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB 8GB RAM,811.19,811.19
