PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO,"925,82",R$ 925.82,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO PROC 10835.720567/2025-01///R$ 925,82"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 13 A2633 128GB INDIA NR DE SERIE NO,"2.080,16",R$ 2080.16,"1,00 un SMARTPHONE APPLE IPHONE 13 A2633 128GB INDIA NR DE SERIE NO PROC 10835.720568/2025-48///R$ 2.080,16"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 12 A2403 64GB CHINA NR DE SERIE NO,"1.084,03",R$ 1084.03,"1,00 un SMARTPHONE APPLE IPHONE 12 A2403 64GB CHINA NR DE SERIE NO PROC 10835.720568/2025-48///R$ 1.084,03"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,"SMARTPHONE (APARENTA SER IPHONE 13 SEM ACESSORIOS,SEM","590,06",R$ 590.06,"1,00 un SMARTPHONE (APARENTA SER IPHONE 13 SEM ACESSORIOS,SEM EMBALAGEM) ORIGEM NAO IDENTIFICADA///R$ 590,06"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,"SMARTPHONE (APARENTA SER IPHONE 12 SEM ACESSORIOS, SEM","590,06",R$ 590.06,"1,00 un SMARTPHONE (APARENTA SER IPHONE 12 SEM ACESSORIOS, SEM EMBALAGEM) ORIGEM NAO IDENTIFICADA///R$ 590,06"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO,"944,10",R$ 944.10,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO PROC 10835.720571/2025-61///R$ 944,10"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB CHINA,"1.561,48",R$ 1561.48,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB CHINA/// R$ 1.561,48"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"1.235,86",R$ 1235.86,"2,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 1.235,86"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"4.107,42",R$ 4107.42,"6,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 4.107,42"
ADM 0800100_0735_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"4.325,51",R$ 4325.51,"7,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 4.325,51"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO,"557,35",R$ 557.35,"1,00 un SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 557,35"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G24 256GB CHINA NR DE SERIE NO,"787,55",R$ 787.55,"1,00 un SMARTPHONE MOTOROLA MOTO G24 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 787,55"
ADM 0800100_0735_2025 de 30_09_2025.PDF,8,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"4.943,44",R$ 4943.44,"8,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 4.943,44"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 256GB CHINA NR DE SERIE NO,"557,35",R$ 557.35,"1,00 un SMARTPHONE XIAOMI REDMI 14C 256GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 557,35"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB(SEM NR DE SERIE),"605,81",R$ 605.81,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB(SEM NR DE SERIE) CHINA///R$ 605,81"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME NOTE 50 128GB CHINA NR DE SERIE NO PROC,"1.090,46",R$ 1090.46,"2,00 un SMARTPHONE REALME NOTE 50 128GB CHINA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 1.090,46"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI NOTE 12 PRO MAIS 256GB INDIA NR DE SERIE,"605,81",R$ 605.81,"1,00 un SMARTPHONE XIAOMI NOTE 12 PRO MAIS 256GB INDIA NR DE SERIE NO PROC 10835.720664/2025-96///R$ 605,81"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 12 128GB A2403 CHINA,"1.708,46",R$ 1708.46,"1,00 un SMARTPHONE APPLE IPHONE 12 128GB A2403 CHINA SN:HGYNS0ES0F0Y///R$ 1.708,46"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 11 PRO 64GB A2160 CHINA,"1.447,85",R$ 1447.85,"1,00 un SMARTPHONE APPLE IPHONE 11 PRO 64GB A2160 CHINA SN:H08KK06GN6XN///R$ 1.447,85"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REMDI 14C 256GB CHINA,"579,14",R$ 579.14,"1,00 un SMARTPHONE XIAOMI REMDI 14C 256GB CHINA SN:59176/64ZU01366///R$ 579,14"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"593,36",R$ 593.36,"1,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 593,36"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO,"1.605,57",R$ 1605.57,"3,00 un SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.605,57"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO,"1.070,38",R$ 1070.38,"2,00 un SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.070,38"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"1.314,70",R$ 1314.70,"2,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.314,70"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE MOTOROLA MOTO G84 5G 256GB CHINA NR DE SERIE,"2.268,75",R$ 2268.75,"3,00 un SMARTPHONE MOTOROLA MOTO G84 5G 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 2.268,75"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"657,35",R$ 657.35,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 657,35"
ADM 0800100_0735_2025 de 30_09_2025.PDF,5,SMARTPHONE SEM IDENTIFICACAO APARENTNDO SER REDMI 13C,"2.908,65",R$ 2908.65,"5,00 un SMARTPHONE SEM IDENTIFICACAO APARENTNDO SER REDMI 13C ORIGEM NAO IDENTIFICADA///R$ 2.908,65"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"657,35",R$ 657.35,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 657,35"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 5G 256GB CHINA NR DE SERIE,"1.012,21",R$ 1012.21,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 5G 256GB CHINA NR DE SERIE R$ 1.012,21"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G 256GB CHINA NR DE,"1.297,26",R$ 1297.26,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.297,26"
ADM 0800100_0735_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI REDMI 12 256GB CHINA NR DE SERIE NO PROC,"4.682,93",R$ 4682.93,"7,00 un SMARTPHONE XIAOMI REDMI 12 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 4.682,93"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO,"1.838,26",R$ 1838.26,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.838,26"
ADM 0800100_0735_2025 de 30_09_2025.PDF,15,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"9.860,25",R$ 9860.25,"15,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 9.860,25"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB CHINA NR DE,"1.221,05",R$ 1221.05,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.221,05"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO,"1.064,58",R$ 1064.58,"3,00 un SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.064,58"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 128GB CHINA NR DE SERIE NO,"535,19",R$ 535.19,"1,00 un SMARTPHONE XIAOMI REDMI 13C 128GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 535,19"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 10S 128GB CHINA NR DE SERIE,"581,73",R$ 581.73,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 10S 128GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 581,73"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 512GB CHINA NR DE SERIE NO,"581,73",R$ 581.73,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 512GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 581,73"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"657,35",R$ 657.35,"1,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 657,35"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI NOTE 12 5G 128GB CHINA NR DE SERIE,"1.919,12",R$ 1919.12,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 12 5G 128GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.919,12"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI NOTE 13 512GB CHINA NR DE SERIE NO,"1.977,88",R$ 1977.88,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 13 512GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.977,88"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REMDI NOTE 13 5G 256GB CHINA NR DE SERIE,"581,73",R$ 581.73,"1,00 un SMARTPHONE XIAOMI REMDI NOTE 13 5G 256GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 581,73"
ADM 0800100_0735_2025 de 30_09_2025.PDF,13,SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO,"4.613,18",R$ 4613.18,"13,00 un SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 4.613,18"
ADM 0800100_0735_2025 de 30_09_2025.PDF,4,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G 512GB CHINA NR DE,"5.887,12",R$ 5887.12,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G 512GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 5.887,12"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE,"1.745,19",R$ 1745.19,"3,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.745,19"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 11 A2111 128GB CHINA NR DE SERIE,"1.454,33",R$ 1454.33,"1,00 un SMARTPHONE APPLE IPHONE 11 A2111 128GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.454,33"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE IPHONE 11 A2111 128GB CHINA NR DE SERIE,"1.454,33",R$ 1454.33,"1,00 un SMARTPHONE APPLE IPHONE 11 A2111 128GB CHINA NR DE SERIE NO PROC 10835.720746/2025-31///R$ 1.454,33"
ADM 0800100_0735_2025 de 30_09_2025.PDF,4,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"2.581,16",R$ 2581.16,"4,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 2.581,16"
ADM 0800100_0735_2025 de 30_09_2025.PDF,8,SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO,"7.218,08",R$ 7218.08,"8,00 un SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 7.218,08"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE,"571,05",R$ 571.05,"1,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 571,05"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO,"525,37",R$ 525.37,"1,00 un SMARTPHONE XIAOMI REDMI 13C 128GB INDIA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 525,37"
ADM 0800100_0735_2025 de 30_09_2025.PDF,5,SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE,"2.855,25",R$ 2855.25,"5,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 256GB INDIA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 2.855,25"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE HONOR X7B 256GB CHINA NR DE SERIE NO PROC,"879,42",R$ 879.42,"1,00 un SMARTPHONE HONOR X7B 256GB CHINA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 879,42"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB CHINA NR DE,"3.595,89",R$ 3595.89,"3,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB CHINA NR DE SERIE NO PROC 10835.720768/2025-09///R$ 3.595,89"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI A3X 64GB CHINA NR DE SERIE NO PROC,"664,92",R$ 664.92,"2,00 un SMARTPHONE XIAOMI REDMI A3X 64GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 664,92"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME C61 128GB CHINA NR DE SERIE NO PROC,"1.148,38",R$ 1148.38,"2,00 un SMARTPHONE REALME C61 128GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 1.148,38"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME C61 256GB CHINA NR DE SERIE NO PROC,"1.320,64",R$ 1320.64,"2,00 un SMARTPHONE REALME C61 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 1.320,64"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE XIAOMI POCO C75 256GB CHINA NR DE SERIE NO,"3.858,54",R$ 3858.54,"6,00 un SMARTPHONE XIAOMI POCO C75 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 3.858,54"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME C67 256GB CHINA NR DE SERIE NO PROC,"1.688,12",R$ 1688.12,"2,00 un SMARTPHONE REALME C67 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 1.688,12"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO,"907,22",R$ 907.22,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 907,22"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 256GB CHINA NR DE SERIE NO PROC,"861,29",R$ 861.29,"1,00 un SMARTPHONE XIAOMI REDMI 13 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 861,29"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 12 256GB CHINA NR DE SERIE NO PROC,"660,32",R$ 660.32,"1,00 un SMARTPHONE XIAOMI REDMI 12 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 660,32"
ADM 0800100_0735_2025 de 30_09_2025.PDF,11,SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO,"6.316,09",R$ 6316.09,"11,00 un SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 6.316,09"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO,"2.756,10",R$ 2756.10,"3,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO PROC 10835.721194/2025-88///R$ 2.756,10"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,"SMARTPHONE SEM IDENTIFICACAO,APARENTANDO SER REDMI 13C","1.214,82",R$ 1214.82,"2,00 un SMARTPHONE SEM IDENTIFICACAO,APARENTANDO SER REDMI 13C ORIGEM NAO IDENTIFICADA///R$ 1.214,82"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME NOTE 50 64GB CHINA NR DE SERIE NO PROC,"738,00",R$ 738.00,"2,00 un SMARTPHONE REALME NOTE 50 64GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 738,00"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO,"475,30",R$ 475.30,"1,00 un SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 475,30"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME NOTE 50 256GB CHINA NR DE SERIE NO PROC,"369,00",R$ 369.00,"1,00 un SMARTPHONE REALME NOTE 50 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 369,00"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C51 128GB CHINA NR DE SERIE NO PROC,"546,67",R$ 546.67,"1,00 un SMARTPHONE REALME C51 128GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 546,67"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,"SMARTPHONE SEM IDENTIFICACAO,APARENTANDO SER POCO X6 PRO","607,41",R$ 607.41,"1,00 un SMARTPHONE SEM IDENTIFICACAO,APARENTANDO SER POCO X6 PRO 5G ORIGEM NAO IDENTIFICADA///R$ 607,41"
ADM 0800100_0735_2025 de 30_09_2025.PDF,7,SMARTPHONE REALME C65 256GB CHINA NR DE SERIE NO PROC,"5.272,33",R$ 5272.33,"7,00 un SMARTPHONE REALME C65 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 5.272,33"
ADM 0800100_0735_2025 de 30_09_2025.PDF,5,SMARTPHONE TECNO SPARK 20 256GB CHINA NR DE SERIE NO PROC,"3.037,05",R$ 3037.05,"5,00 un SMARTPHONE TECNO SPARK 20 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 3.037,05"
ADM 0800100_0735_2025 de 30_09_2025.PDF,8,SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO,"5.490,96",R$ 5490.96,"8,00 un SMARTPHONE XIAOMI REDMI 13C 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 5.490,96"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"3.717,36",R$ 3717.36,"6,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 3.717,36"
ADM 0800100_0735_2025 de 30_09_2025.PDF,15,SMARTPHONE XIAOMI REDMI 14C 256GB CHINA NR DE SERIE NO,"8.655,60",R$ 8655.60,"15,00 un SMARTPHONE XIAOMI REDMI 14C 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 8.655,60"
ADM 0800100_0735_2025 de 30_09_2025.PDF,13,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB 5G INDIA NR DE,"16.483,61",R$ 16483.61,"13,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 256GB 5G INDIA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 16.483,61"
ADM 0800100_0735_2025 de 30_09_2025.PDF,19,SMARTPHONE REALME C67 256GB CHINA NR DE SERIE NO PROC,"15.580,00",R$ 15580.00,"19,00 un SMARTPHONE REALME C67 256GB CHINA NR DE SERIE NO PROC 10835.721460/2025-72///R$ 15.580,00"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE APPLE IPHONE 12 A2172 128GB CHINA NR DE SERIE,"6.415,08",R$ 6415.08,"6,00 un SMARTPHONE APPLE IPHONE 12 A2172 128GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 6.415,08"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO,"926,62",R$ 926.62,"2,00 un SMARTPHONE XIAOMI REDMI 14C 128GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 926,62"
ADM 0800100_0735_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO,"8.679,65",R$ 8679.65,"7,00 un SMARTPHONE XIAOMI REDMI NOTE 13 256GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 8.679,65"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI POCO X6 5G 256GB INDIA NR DE SERIE NO,"2.493,58",R$ 2493.58,"2,00 un SMARTPHONE XIAOMI POCO X6 5G 256GB INDIA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 2.493,58"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB INDIA NR DE SERIE,"4.276,74",R$ 4276.74,"3,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB INDIA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 4.276,74"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB INDIA NR DE SERIE,"8.553,48",R$ 8553.48,"6,00 un SMARTPHONE XIAOMI POCO X6 PRO 5G 512GB INDIA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 8.553,48"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO,"368,27",R$ 368.27,"1,00 un SMARTPHONE MOTOROLA MOTO E14 64GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 368,27"
ADM 0800100_0735_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C65 128GB CHINA NR DE SERIE NO,"475,19",R$ 475.19,"1,00 un SMARTPHONE XIAOMI POCO C65 128GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 475,19"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO,"1.211,74",R$ 1211.74,"2,00 un SMARTPHONE XIAOMI POCO C65 256GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 1.211,74"
ADM 0800100_0735_2025 de 30_09_2025.PDF,3,SMARTPHONE REALME C61 256GB CHINA NR DE SERIE NO PROC,"2.049,27",R$ 2049.27,"3,00 un SMARTPHONE REALME C61 256GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 2.049,27"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE REALME NOTE 60X 64GB CHINA NR DE SERIE NO PROC,"819,70",R$ 819.70,"2,00 un SMARTPHONE REALME NOTE 60X 64GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 819,70"
ADM 0800100_0735_2025 de 30_09_2025.PDF,6,SMARTPHONE REALME NOTE 60 128GB CHINA NR DE SERIE NO PROC,"2.958,06",R$ 2958.06,"6,00 un SMARTPHONE REALME NOTE 60 128GB CHINA NR DE SERIE NO PROC 10835.721504/2025-64///R$ 2.958,06"
ADM 0800100_0735_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO,"1.691,62",R$ 1691.62,"2,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA NR DE SERIE NO PROC 10835.721531/2025-37///R$ 1.691,62"
